split,station,in_ws_40m,in_wrf_40m,latitude_deg,longitude_deg,lat_hemisphere,lon_hemisphere,coordinate_source,ws_nonnull_count,ws_start,ws_end,wrf_nonnull_count,candidate_pair_count_wrf_plus9h,status,physical_site_group
tr,jeju_seopji,1,1,33.43012,126.93280,N,E,LEGACY_CODE,8581,1998-01-01 00:00:00,1998-12-31 23:00:00,87649,0,NO_TEMPORAL_OVERLAP,jeju_seopji
tr,jeju_yongdang,1,1,33.34268,126.17528,N,E,LEGACY_CODE,25446,1997-01-01 00:00:00,1999-12-29 23:00:00,87649,0,NO_TEMPORAL_OVERLAP,jeju_yongdang
tr,jeju_ilgwa,1,1,33.23712,126.23545,N,E,LEGACY_CODE,8541,1999-05-07 00:00:00,2000-05-06 15:00:00,87649,0,NO_TEMPORAL_OVERLAP,jeju_ilgwa
tr,jeju_gimnyeong,1,1,33.55808,126.76047,N,E,LEGACY_CODE,13068,1996-06-01 00:00:00,1997-11-30 23:00:00,87649,0,NO_TEMPORAL_OVERLAP,jeju_gimnyeong
tr,jeju_hansu,1,1,33.42928,126.26477,N,E,LEGACY_CODE,8542,2000-10-01 00:00:00,2001-09-30 23:00:00,87649,0,NO_TEMPORAL_OVERLAP,jeju_hansu
tr,jeju_haengwon,1,1,33.55722,126.81102,N,E,LEGACY_CODE,8629,1996-12-01 00:00:00,1997-11-30 22:00:00,87649,0,NO_TEMPORAL_OVERLAP,haengwon
tr,kangwon_maebong,1,1,37.21704,128.96123,N,E,LEGACY_CODE,8391,2001-11-20 00:00:00,2002-11-19 23:00:00,87649,0,NO_TEMPORAL_OVERLAP,kangwon_maebong
tr,gyeongsang_yeongdeok,1,1,36.41985,129.41797,N,E,LEGACY_CODE,8724,2001-01-01 00:00:00,2001-12-31 23:00:00,87649,0,NO_TEMPORAL_OVERLAP,gyeongsang_yeongdeok
tr,jeju_panpo,1,1,33.36035,126.18881,N,E,LEGACY_CODE,8679,2009-12-14 09:00:00,2010-12-14 08:00:00,87649,0,NO_TEMPORAL_OVERLAP,jeju_panpo
tr,jeju_haengwon2,1,1,33.55943,126.81359,N,E,LEGACY_CODE,8712,2017-01-01 00:00:00,2017-12-31 23:00:00,87649,8712,CANDIDATE_PAIRABLE,haengwon
tr,jeju_haengwon3,1,1,33.55943,126.81359,N,E,LEGACY_CODE,8713,2022-01-01 00:00:00,2022-12-31 23:00:00,87649,8713,CANDIDATE_PAIRABLE,haengwon
